"Focus (IP, OP, HOD? Primary or Secondary?)",Epic Queue Name,Applications supported,Impacted Service,Key words/functions,Primary area it is used:,It replaced the following:,Special Notes,
"OP - Outpatient, Primary Group",Epic Ambulatory,EpicCare,EpicCare Ambulatory,"Clinic Documentation, Abstraction, Chart Abstraction, OPD, Medical Center, Outpatient Clinic, ePrescribing, ePrescribe access, e-prescribe, After Visit Summary, AVS, Visit Navigator, Clinic Summary, Chart Review, Orders, Radiology Orders, Medications, LOS (Level of Service), Charge Capture, Medication Reconciliation, Clinical Data Repository (will include CPNG AND EpicCare), Results Reviewing, Nursing Flowsheets, Clinical Inbox, Alerts and Reminders, Collaborative Plans of Care,  Order Communication, Alerts and Reminders, Registries, Can't Find Test to Order, Doctor's Note or Excuse Letter for work or school, Inbox, Encounter List, Pool Issues,  Medication Issues, Prescription Issues, In Basket, In-Basket, Inbasket, Add Pharmacy, Medication Order, Surescripts, the new Dr. First, Dr First, Preferred Pharmacy, Verify RX Benefits, Outside Medication Reconciliation, Order Entry, Meds & Orders, RX Request, E-Prescribing Error Message, Refill Error, Diagnosis Code, Health Maintenance, Delete an Order, Deleting an Order, Smartphrase, Smart Phrase, Attestation, Pulse Reports, Epic Pulse, Outpatient Labs, Outpatient Lab Issues, Not Receiving In-Basket Message, Generic Provider, OPD, OPD Order Missing, INR, new location, transition, add a practice, Orthopedics module, Ortho, Orthopaedics, POE, Point of Entry



",,"CPNG, TCAP (Charge Capture), Health Quest (Charge Capture), Rcopia (Medication Reconciliation), Excelcare (Nursing Only, for Collaborative Plans of Care), Dr. First (ePrescribing), Clinipac(Order Communication), DocSite (Registries)",Will eventually replace Cerner in wave 6 at Macomb,
"OP - Outpatient, Primary Group",Epic Ambulatory,MyChart,MyChart,"Patient Portal, MyHealth
",,Medseek - custom,"(Medseek - custom will be replaced with Medseek+My Chart+Relay Account)
",
"OP - Outpatient, Primary Group",Epic Ambulatory,Kaleidoscope,Kaleidoscope,"Eye Care, Ophthalmology
",,,,
"OP - Outpatient, Primary Group",Epic CDM,HIM,HIM,"New billing code (EAP) needed,  Change revenue code, Rate change needed, Price review needed, Description change needed, Inactive EAP code, Fee schedule  update,  CPT update,  HCPCS update,  FAM drug code, Shell EAP record, Modifier needed
",,,"CDM = Charge Description Master. Primary Management Contact is Diane Hunt, Secondary is Ben Malijovec.",
"OP - Outpatient, Primary Group",Epic HIM ,HIM,HIM,"Patient Information (ROI - Release of Information), MRO (Medical Records Online) cannot print or can't get documents out. Can't fax or scan patient information (verify the issue isn't printer hardware), Scanner, Scanning problems, Dictation Problems,  Can't remove note, chart correction, images not showing, media not showing, FT error, Fastrieve, FT 403 error, Document is not returned from FT due to http error, expired patient, dead patient, mark as deceased, break the glass, Deficiency Letter, Deficiency Letters
",,,Primary Management Escalation - Tammy Bird   Secondary Escalation- Jerri Lynch,
"OP - Outpatient, Primary Group",HIM MRA Team,HIM,HIM,"Incorrectly scanned document to wrong patient, incorrectly scanned document to wrong document type, deleting a scanned document, incorrectly scanned insurance card to wrong patient or wrong document type, deleting a scanned insurance card, deleting a scanned driver’s license or photo ID, incorrectly scanned driver’s license or photo ID to wrong chart, removing a scanned document",,,,
"OP - Outpatient, Primary Group",Epic ADT-Prelude,Prelude,Prelude,"Registration, Eligibility Verification, Blue Cross Verification, EV, Copay issues, Co-Pay Issues, Insurance verification, HAP, Medicare, Insurance issues (such as selecting insurance plans, deleting insurance coverage, insurance errors, RTE/Real Time Eligibility, etc), Checklist, Check List, Check In (involving registration), RTE (Real Time Eligibility), Document Table, Worker's Comp, MVA, Motor Vehicle Accident, Subscriber, Guarantor, HAR, Hospital Account, Demographics, Claim Address, Claim Info Form, Copay, Self Pay, Deposit Tool, New Patient Wizard, MSPQ, Pull Info Button, Missing Registration Items Workqueue, FT error, Fastrieve, FT, Unable to Access Record Viewer",,"Medipac - custom, Accretive",(Eligibility verification will require Prelude+ Emdeom/HAP Real-time Eligibility) Prelude will replace HealthQuest and Practice Plus in waves 4-6,
"OP - Outpatient, Primary Group",Epic Cadence,Cadence,Cadence,"Schedule, scheduling, Record Request, Cancel, Forward, Scheduling - OPD, Scheduling - IPD, Appointment, Schedule, Kiosk, Arrivals, Check in (involving schedule template or doctor/provider issue) Appointment Desk, Referral, Visit, DAR, can't schedule inpatients, can't make appointment, can't check patient in, Physician and Nurse Schedules, Physician and Nurse Templates, Patient Check Out, Patient Checkout, Front Desk Function, Front desk, CSR function, CSR, unable to change from provider to self on schedule, name is not listed as a prodvider on schedule, Recall List, Appointment Recall, Visit Type, Patient Reminder Letter Updates, Non-surgical snapboards
",,MedTec,"Will replace Power Works + eThomas at Wyandotte  in wave 5, and McKesson Pathways at Macomb in wave 6",
"OP - Outpatient, Primary Group",Epic ADT - Prelude,ADT,ADT,"Admission, Discharge and Transfer application.  It includes Patient Station, Patient Transport, Housekeeping (EVS), ATMO Areas, Bed Planning, etc.  You might receive calls from Admitting Officers, ED Registrars, ATMO, Case Managers, EVS and Transport Users/Managers, Cash Drawer, Deposits, Patient Insurance Registration, Point of Sale Patient Payment Processing, Reprint Receipt, Print Receipt. IMM Notice, Important Message from Medicaid, IM Notice, IMM, Unable to Access Record Viewer,  Also assign here if user can't see or select correct department in Epic
",,Medipac - custom,Teletracking & Healthquest in waves 5 & 6 Later waves (3-6 will include ADT Bedtracking),
"OP - Outpatient, Primary Group",Epic Resolute Professional Billing - Billing related to provider services,Epic Resolute,Resolute-PB,"Revenue Cycle Patient Flow Management, Router/Editor, Abstracting, Professional Billing, Claims Editor, PFS Workflow, Anesthesia Billing, Insurance Company Maintenance,  Charging issues, Incorrect Charges, Claim Edits, Charge Review, Charge Entry, Audit Tracker",,"Medipac - custom (Abstracting, Statement, Insurance Company Maintenance), MedTec (Professional Billing), McKesson EC2000/PCA (Claims Editor), Accretive Health (PFS Workflow, Revenue Cycle Workflow), ORMIS (Epic Resolute/ARM), ",,
